"5","2015-03-18 23:00:08","8195407","2962242","264102","58016","1625","161","131","1"
"8","2015-03-21 23:00:11","8244157","3010992","312852","106766","1661","163","131","1"
"7","2015-03-20 23:00:11","8231163","2997998","299858","93772","1647","163","131","1"
"6","2015-03-19 23:00:05","8212461","2979296","281156","75070","1639","162","131","1"
"9","2015-03-22 23:00:10","8252952","3019787","321647","115561","1661","163","131","1"
"10","2015-03-23 23:00:10","8273977","3040812","342672","18576","1680","163","129","1"
"11","2015-03-24 23:00:10","8277636","3044471","346331","22235","1688","164","129","1"
"12","2015-03-25 23:00:11","8306815","3073650","375510","51414","1701","165","129","1"
"13","2015-03-26 23:00:09","8319707","3086542","388402","64306","1719","167","129","1"
"14","2015-03-27 23:00:11","8340200","3107035","408895","84799","1735","167","129","1"
"15","2015-03-28 23:00:07","8360212","3127047","428907","104811","1755","168","129","1"
"16","2015-03-29 23:00:11","8364297","3131132","432992","108896","1755","168","129","1"
"17","2015-03-30 23:00:06","8367575","3134410","436270","3278","1755","169","129","1"
"18","2015-03-31 23:00:05","8391223","3158058","459918","26926","1763","170","129","1"
"19","2015-04-01 23:00:08","8392853","3159688","1630","28556","1763","172","129","1"
"20","2015-04-02 23:00:08","8396768","3163603","5545","32471","1763","174","129","1"
"21","2015-04-03 23:00:09","8398072","3164907","6849","33775","1763","174","129","1"
"22","2015-04-04 23:00:12","8411577","3178412","20354","47280","1763","174","129","1"
"23","2015-04-05 23:00:07","8431103","3197938","39880","66806","1767","175","129","1"
"24","2015-04-06 23:00:12","8439021","3205856","47798","7918","1767","175","129","1"
"25","2015-04-07 23:00:08","8452184","3219019","60961","21081","1767","175","129","1"
"26","2015-04-08 23:00:12","8453173","3220008","61950","22070","1767","174","129","1"
"27","2015-04-09 23:00:13","8482227","3249062","91004","51124","1779","175","129","1"
"28","2015-04-10 23:00:12","8492891","3259726","101668","61788","1781","176","129","1"
"29","2015-04-11 23:00:09","8507925","3274760","116702","76822","1798","176","129","1"
"30","2015-04-12 23:00:12","8523627","3290462","132404","92524","1802","176","129","1"
"31","2015-04-13 23:00:13","8538657","3305492","147434","15030","1811","177","129","1"
"32","2015-04-14 23:00:15","8553113","3319948","161890","29486","1822","179","129","1"
"33","2015-04-15 23:00:11","8570361","3337196","179138","46734","1839","179","129","1"
"34","2015-04-16 23:00:12","8583634","3350469","192411","60007","1851","180","129","1"
"35","2015-04-17 23:00:13","8602820","3369655","211597","79193","1852","181","129","1"
"36","2015-04-18 23:00:10","8615111","3381946","223888","91484","1853","181","129","1"
"37","2015-04-19 23:00:12","8627721","3394556","236498","104094","1870","181","129","1"
"38","2015-04-20 23:00:13","8647293","3414128","256070","19400","1896","181","129","1"
"39","2015-04-21 23:00:09","8659101","3425936","267878","31208","1907","181","129","1"
"40","2015-04-22 23:00:08","8678975","3445810","287752","51082","1919","182","129","1"
"41","2015-04-23 23:00:06","8696552","3463387","305329","68659","1934","182","129","1"
"42","2015-04-24 23:00:10","8707418","3474253","316195","79525","1948","182","129","1"
"43","2015-04-25 23:00:06","8724032","3490867","332809","96139","1952","182","129","1"
"44","2015-04-26 23:00:09","8743909","3510744","352686","116016","1953","182","129","1"
