"year","sum_points","sum_items","mean_daily_points","mean_daily_items","mean_weekly_points","mean_weekly_items","mean_monthly_points","mean_monthly_items","mean_quarterly_points","mean_quarterly_items"
"2016",1189407,511,12520.0736842105,5.37894736842105,79293.8,34.0666666666667,297351.75,127.75,594703.5,255.5
"2015",3511319,1598,12192.0798611111,5.54861111111111,83602.8333333333,38.0476190476191,351131.9,159.8,877829.75,399.5
